algorithm,family,seed,success,reason,completion,illegal_switches,inference_mean_ms,score_total,collision_count,simulation_time_s
cnn_gru,straight,5001,True,success,0.9846739543598507,0,5.6159979691822395,93.75,0,14.950000000000001
cnn_gru,straight,5002,True,success,0.9837160186700741,0,5.559572052052821,93.23,0,15.350000000000001
cnn_gru,bend,5001,True,success,0.9834339801651597,0,5.661568059795456,88.78,0,14.450000000000001
cnn_gru,bend,5002,True,success,0.9841683581519457,0,5.778890335932374,89.31,0,14.600000000000001
cnn_gru,s_curve,5001,True,success,0.9839777369050071,0,5.5592903279160195,85.32,0,14.25
cnn_gru,s_curve,5002,True,success,0.9839264332319604,0,5.528182646601784,85.3,0,14.700000000000001
cnn_gru,sharp,5001,True,success,0.9842740751431499,0,5.448275195213697,89.05,0,14.75
cnn_gru,sharp,5002,True,success,0.9828882009352903,0,5.637547412395079,89.12,0,14.950000000000001
cnn_gru,hairpin,5001,True,success,0.9855465111869834,0,5.845702264402339,88.97,0,16.75
cnn_gru,hairpin,5002,True,success,0.9873143599889203,0,5.5808599907194765,88.61,0,17.05
cnn_gru,parallel,5001,True,success,0.9837402128604794,0,5.659018652482683,90.99,0,15.05
cnn_gru,parallel,5002,False,episode_timeout,0.0,0,5.386042822850868,0.0,0,200.0
cnn_gru,close_lines,5001,True,success,0.9827426052274059,0,5.562549316788398,91.09,0,14.950000000000001
cnn_gru,close_lines,5002,True,success,0.9848693134887265,0,5.793189440031075,91.54,0,15.450000000000001
cnn_gru,repeated,5001,True,success,0.9967121730626723,0,5.668840493867803,90.31,0,62.95
cnn_gru,repeated,5002,True,success,0.9970044423028759,0,5.712267905068156,90.85,0,64.3
