algorithm,family,seed,success,reason,completion,illegal_switches,inference_mean_ms,score_total,collision_count,simulation_time_s
scanline_pid,straight,5001,True,success,0.9832728423468947,0,27.935067588328863,92.6,0,26.3
scanline_pid,straight,5002,True,success,0.9835116092166276,0,27.895415942762455,89.75,0,27.400000000000002
scanline_pid,bend,5001,True,success,0.9818353300604972,0,27.637681971654434,88.97,0,27.25
scanline_pid,bend,5002,True,success,0.982211276748017,0,27.835405044622732,89.22,0,27.55
scanline_pid,s_curve,5001,True,success,0.9821469345585929,0,27.823980952941362,85.73,0,27.8
scanline_pid,s_curve,5002,True,success,0.9831855781026084,0,27.830726026516892,86.05,0,28.75
scanline_pid,sharp,5001,True,success,0.9824351816436807,0,28.74218945409355,88.67,0,28.650000000000002
scanline_pid,sharp,5002,True,success,0.9830465143246757,0,28.711067110759345,89.25,0,29.200000000000003
scanline_pid,hairpin,5001,True,success,0.9850133651354821,0,27.659361633180662,88.57,0,32.75
scanline_pid,hairpin,5002,True,success,0.984928977428077,0,27.31480088079351,88.93,0,33.35
scanline_pid,parallel,5001,False,episode_timeout,0.0,0,26.22974011185579,0.0,0,200.0
scanline_pid,parallel,5002,False,episode_timeout,0.0,0,26.368640216998756,0.0,0,200.0
scanline_pid,close_lines,5001,True,success,0.9832777901255408,0,28.05290650222238,92.6,0,26.3
scanline_pid,close_lines,5002,True,success,0.9835081967407979,0,27.972537682588843,89.75,0,27.400000000000002
scanline_pid,repeated,5001,False,episode_timeout,0.20162409882222013,0,25.47584646823816,7.72,0,200.0
scanline_pid,repeated,5002,False,episode_timeout,0.20123958188545352,0,26.23796183243394,7.77,0,200.0
