algorithm,family,seed,success,reason,completion,illegal_switches,inference_mean_ms
temporal_pursuit,straight,203,True,success,0.9839616825846638,0,32.12370606338453
temporal_pursuit,bend,203,True,success,0.9829488283776403,0,27.216677889459252
temporal_pursuit,s_curve,203,True,success,0.9838404955599204,0,28.769736463027446
temporal_pursuit,sharp,203,True,success,0.983525067040784,0,26.533206604919354
temporal_pursuit,hairpin,203,True,success,0.9859395766550281,0,28.015436226582175
temporal_pursuit,parallel,203,True,success,0.9829794652508216,0,31.853582584881224
temporal_pursuit,close_lines,203,True,success,0.9839553261865333,0,31.5911981640325
temporal_pursuit,repeated,203,True,success,0.996604428730094,0,26.908827790824116
temporal_mpc,straight,203,True,success,0.9833329988359325,0,35.59354481403716
temporal_mpc,bend,203,True,success,0.9831901908535006,0,29.103351704047682
temporal_mpc,s_curve,203,True,success,0.9845113304457148,0,31.01988554866671
temporal_mpc,sharp,203,True,success,0.9833689426371199,0,25.846533680140425
temporal_mpc,hairpin,203,True,success,0.9854378254307419,0,28.696219967578045
temporal_mpc,parallel,203,True,success,0.9833321592159862,0,30.991995896329172
temporal_mpc,close_lines,203,True,success,0.9833208829710625,0,33.479691212414764
temporal_mpc,repeated,203,True,success,0.9968047340427336,0,31.42141327068475
cnn_gru,straight,203,True,success,0.9847088486323271,0,5.530846963326137
cnn_gru,bend,203,True,success,0.9842457727713493,0,5.616180961264059
cnn_gru,s_curve,203,True,success,0.9846189163910383,0,5.464311620040286
cnn_gru,sharp,203,True,success,0.9862776412535907,0,5.389505876740591
cnn_gru,hairpin,203,True,success,0.9876221926642909,0,5.411448351382702
cnn_gru,parallel,203,False,illegal_switch,0.19061734706951577,1,5.928449056474334
cnn_gru,close_lines,203,True,success,0.9852609386923441,0,5.048762849649254
cnn_gru,repeated,203,False,episode_timeout,0.0,0,5.291772879194468
scanline_pid,straight,203,False,episode_timeout,0.9595215838026048,0,24.6689317766577
scanline_pid,bend,203,False,episode_timeout,0.9585385648245259,0,25.50026951660402
scanline_pid,s_curve,203,False,episode_timeout,0.9593367955527202,0,24.797550161601976
scanline_pid,sharp,203,False,episode_timeout,0.9582717557640044,0,24.77167563699186
scanline_pid,hairpin,203,False,episode_timeout,0.7087204334005838,0,25.91874779504724
scanline_pid,parallel,203,False,episode_timeout,0.0,0,25.0846090009436
scanline_pid,close_lines,203,False,episode_timeout,0.9595185398103567,0,24.453843537252396
scanline_pid,repeated,203,False,episode_timeout,0.19326174491541523,0,25.896394937997684
