algorithm,family,seed,success,reason,completion,illegal_switches,inference_mean_ms,score_total,collision_count,simulation_time_s
temporal_pursuit,straight,5001,True,success,0.9828388597182169,0,31.260710053423548,92.35,0,16.1
temporal_pursuit,straight,5002,True,success,0.9833738473242827,0,30.073029380235425,89.59,0,16.55
temporal_pursuit,bend,5001,True,success,0.9818281940415686,0,31.601619031045985,88.34,0,15.9
temporal_pursuit,bend,5002,True,success,0.9822312411137191,0,31.591329084049107,88.38,0,15.8
temporal_pursuit,s_curve,5001,True,success,0.9818843415649015,0,32.17643300532528,85.21,0,15.55
temporal_pursuit,s_curve,5002,True,success,0.9830559694396234,0,30.60982248170716,85.94,0,15.950000000000001
temporal_pursuit,sharp,5001,True,success,0.9826456855841985,0,33.425597929485676,88.86,0,16.05
temporal_pursuit,sharp,5002,True,success,0.9839631937880308,0,28.684585438324856,88.94,0,16.25
temporal_pursuit,hairpin,5001,True,success,0.9851723429261673,0,32.176657133526746,88.95,0,18.05
temporal_pursuit,hairpin,5002,True,success,0.9860699376807069,0,29.174714887194966,89.38,0,18.35
temporal_pursuit,parallel,5001,True,success,0.9831606465101798,0,33.19001835170973,92.34,0,16.3
temporal_pursuit,parallel,5002,True,success,0.983285109260756,0,31.053201101409893,89.31,0,16.8
temporal_pursuit,close_lines,5001,True,success,0.9831600458985836,0,32.39261739790165,92.26,0,16.3
temporal_pursuit,close_lines,5002,True,success,0.9833738473242827,0,32.017858288169265,89.58,0,16.55
temporal_pursuit,repeated,5001,True,success,0.9963543585727768,0,29.984417457231565,90.5,0,64.60000000000001
temporal_pursuit,repeated,5002,True,success,0.9967024051519748,0,29.68747884579381,90.67,0,66.05
temporal_mpc,straight,5001,True,success,0.9830080065674002,0,35.36646416329819,93.44,0,16.1
temporal_mpc,straight,5002,True,success,0.9836427206760847,0,33.44102134551143,90.17,0,16.8
temporal_mpc,bend,5001,True,success,0.9819391496754029,0,33.188819552217666,86.17,0,15.8
temporal_mpc,bend,5002,True,success,0.9830281460289897,0,38.70523053679674,88.93,0,15.75
temporal_mpc,s_curve,5001,True,success,0.9821141755095255,0,38.453817497155235,85.06,0,15.450000000000001
temporal_mpc,s_curve,5002,True,success,0.9837009865931546,0,35.20598942972132,87.44,0,15.850000000000001
temporal_mpc,sharp,5001,True,success,0.9823742493819834,0,32.470031824777834,86.79,0,16.0
temporal_mpc,sharp,5002,True,success,0.9827157662767586,0,31.686576794125024,88.76,0,16.05
temporal_mpc,hairpin,5001,True,success,0.9857752954581248,0,35.27249477992064,87.62,0,17.8
temporal_mpc,hairpin,5002,True,success,0.9848953499393795,0,32.672277291547196,89.34,0,18.1
temporal_mpc,parallel,5001,True,success,0.9830090126185808,0,36.02096622358568,92.21,0,16.1
temporal_mpc,parallel,5002,True,success,0.9839287238131166,0,33.670668822243314,90.73,0,16.55
temporal_mpc,close_lines,5001,True,success,0.983027489237739,0,35.66587777368678,94.06,0,16.1
temporal_mpc,close_lines,5002,True,success,0.9836427206760847,0,33.59606704907492,90.17,0,16.8
temporal_mpc,repeated,5001,True,success,0.9964176822248318,0,34.06722450601032,89.28,0,63.550000000000004
temporal_mpc,repeated,5002,True,success,0.9966303258013381,0,34.80123358848093,90.29,0,65.05
scanline_pid,straight,5001,False,episode_timeout,0.943486977065799,0,26.694602781673893,37.65,0,200.0
scanline_pid,straight,5002,False,episode_timeout,0.9451972614904464,0,25.604337656870484,37.6,0,200.0
scanline_pid,bend,5001,False,episode_timeout,0.9406035730117567,0,25.164451566059142,36.56,0,200.0
scanline_pid,bend,5002,False,episode_timeout,0.9414833539408357,0,26.264436392113566,36.64,0,200.0
scanline_pid,s_curve,5001,False,episode_timeout,0.940739812204503,0,24.934881273191422,34.81,0,200.0
scanline_pid,s_curve,5002,False,episode_timeout,0.9431115184114252,0,26.00353506882675,35.04,0,200.0
scanline_pid,sharp,5001,True,success,0.9824351816436807,0,27.043947347002607,88.67,0,28.650000000000002
scanline_pid,sharp,5002,True,success,0.9830465143246757,0,24.653324168430615,89.25,0,29.200000000000003
scanline_pid,hairpin,5001,True,success,0.9850133651354821,0,27.459187292358802,88.57,0,32.75
scanline_pid,hairpin,5002,True,success,0.984928977428077,0,26.285368024833733,88.93,0,33.35
scanline_pid,parallel,5001,False,episode_timeout,0.0,0,26.23773668636568,0.0,0,200.0
scanline_pid,parallel,5002,False,episode_timeout,0.0,0,26.333101824624464,0.0,0,200.0
scanline_pid,close_lines,5001,False,episode_timeout,0.9434919252391648,0,25.48251170362346,37.65,0,200.0
scanline_pid,close_lines,5002,False,episode_timeout,0.945193849025326,0,24.677963307360187,37.6,0,200.0
scanline_pid,repeated,5001,False,episode_timeout,0.19293917170488528,0,26.020020122174174,7.38,0,200.0
scanline_pid,repeated,5002,False,episode_timeout,0.19274106067862318,0,26.179360610200092,7.43,0,200.0
